transaction_id,company_id,type,amount,date,category,description,reference_type,reference_id,status
TX_FUT_OUT_00140,TATA001,SUPPLIER_PAYMENT,67552.43,2026-12-08,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0311,INVOICE,INV_FUT_0311,CLEARED
TX_FUT_IN_00141,TATA001,CUSTOMER_PAYMENT,639762.76,2026-12-09,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0416,RECEIVABLE,REC_FUT_0416,CLEARED
TX_FUT_OUT_00142,TATA001,SUPPLIER_PAYMENT,149988.04,2026-12-09,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0313,INVOICE,INV_FUT_0313,CLEARED
TX_FUT_IN_00143,TATA001,CUSTOMER_PAYMENT,94410.07,2026-12-10,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0454,RECEIVABLE,REC_FUT_0454,CLEARED
TX_FUT_IN_00144,TATA001,CUSTOMER_PAYMENT,85812.24,2026-12-10,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0458,RECEIVABLE,REC_FUT_0458,CLEARED
TX_FUT_OUT_00145,TATA001,SUPPLIER_PAYMENT,89277.69,2026-12-10,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0305,INVOICE,INV_FUT_0305,CLEARED
TX_FUT_IN_00146,TATA001,CUSTOMER_PAYMENT,106911.06,2026-12-11,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0460,RECEIVABLE,REC_FUT_0460,CLEARED
TX_FUT_OUT_00147,TATA001,SUPPLIER_PAYMENT,23081.91,2026-12-11,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0306,INVOICE,INV_FUT_0306,CLEARED
TX_FUT_OUT_00148,TATA001,SUPPLIER_PAYMENT,84156.77,2026-12-11,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0307,INVOICE,INV_FUT_0307,CLEARED
TX_FUT_OUT_00149,TATA001,SUPPLIER_PAYMENT,47825.06,2026-12-12,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0291,INVOICE,INV_FUT_0291,CLEARED
TX_FUT_IN_00150,TATA001,CUSTOMER_PAYMENT,108823.03,2026-12-14,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0475,RECEIVABLE,REC_FUT_0475,CLEARED
TX_FUT_IN_00151,TATA001,CUSTOMER_PAYMENT,230192.75,2026-12-16,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0421,RECEIVABLE,REC_FUT_0421,CLEARED
TX_FUT_IN_00152,TATA001,CUSTOMER_PAYMENT,104190.35,2026-12-16,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0442,RECEIVABLE,REC_FUT_0442,CLEARED
TX_FUT_OUT_00153,TATA001,SUPPLIER_PAYMENT,22961.84,2026-12-17,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0310,INVOICE,INV_FUT_0310,CLEARED
TX_FUT_IN_00154,TATA001,CUSTOMER_PAYMENT,217752.9,2026-12-18,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0447,RECEIVABLE,REC_FUT_0447,CLEARED
TX_FUT_IN_00155,TATA001,CUSTOMER_PAYMENT,42159.28,2026-12-18,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0466,RECEIVABLE,REC_FUT_0466,CLEARED
TX_FUT_OUT_00156,TATA001,SUPPLIER_PAYMENT,128952.97,2026-12-18,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0318,INVOICE,INV_FUT_0318,CLEARED
TX_FUT_IN_00157,TATA001,CUSTOMER_PAYMENT,129399.59,2026-12-20,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0448,RECEIVABLE,REC_FUT_0448,CLEARED
TX_FUT_IN_00158,TATA001,CUSTOMER_PAYMENT,59075.82,2026-12-20,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0477,RECEIVABLE,REC_FUT_0477,CLEARED
TX_FUT_IN_00159,TATA001,CUSTOMER_PAYMENT,287078.59,2026-12-21,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0423,RECEIVABLE,REC_FUT_0423,CLEARED
TX_FUT_IN_00160,TATA001,CUSTOMER_PAYMENT,79898.45,2026-12-21,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0480,RECEIVABLE,REC_FUT_0480,CLEARED
TX_FUT_IN_00161,TATA001,CUSTOMER_PAYMENT,87442.04,2026-12-22,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0467,RECEIVABLE,REC_FUT_0467,CLEARED
TX_FUT_IN_00162,TATA001,CUSTOMER_PAYMENT,35811.23,2026-12-22,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0469,RECEIVABLE,REC_FUT_0469,CLEARED
TX_FUT_OUT_00163,TATA001,SUPPLIER_PAYMENT,40430.27,2026-12-23,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0321,INVOICE,INV_FUT_0321,CLEARED
TX_FUT_OUT_00164,TATA001,SUPPLIER_PAYMENT,31067.96,2026-12-24,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0312,INVOICE,INV_FUT_0312,CLEARED
TX_FUT_IN_00165,TATA001,CUSTOMER_PAYMENT,49539.27,2026-12-26,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0491,RECEIVABLE,REC_FUT_0491,CLEARED
TX_FUT_OUT_00166,TATA001,SUPPLIER_PAYMENT,134367.21,2026-12-27,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0324,INVOICE,INV_FUT_0324,CLEARED
TX_FUT_IN_00167,TATA001,CUSTOMER_PAYMENT,397379.05,2026-12-28,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0453,RECEIVABLE,REC_FUT_0453,CLEARED
TX_FUT_IN_00168,TATA001,CUSTOMER_PAYMENT,189105.46,2026-12-28,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0472,RECEIVABLE,REC_FUT_0472,CLEARED
TX_FUT_IN_00169,TATA001,CUSTOMER_PAYMENT,105514.33,2026-12-28,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0474,RECEIVABLE,REC_FUT_0474,CLEARED
TX_FUT_OUT_00170,TATA001,SUPPLIER_PAYMENT,90738.36,2026-12-28,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0314,INVOICE,INV_FUT_0314,CLEARED
TX_FUT_OPS_00171,TATA001,OPERATING_EXPENSE,1650000.0,2026-12-28,SALARY,Corporate Employee Payroll,NONE,,CLEARED
TX_FUT_IN_00172,TATA001,CUSTOMER_PAYMENT,214381.08,2026-12-29,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0438,RECEIVABLE,REC_FUT_0438,CLEARED
TX_FUT_OUT_00173,TATA001,SUPPLIER_PAYMENT,60837.09,2026-12-29,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0315,INVOICE,INV_FUT_0315,CLEARED
TX_FUT_OUT_00174,TATA001,SUPPLIER_PAYMENT,102782.05,2026-12-29,RAW_MATERIAL,Payment cleared for future invoice INV_FUT_0325,INVOICE,INV_FUT_0325,CLEARED
TX_FUT_IN_00175,TATA001,CUSTOMER_PAYMENT,276621.87,2026-12-31,CUSTOMER_COLLECTION,Collection of future receivable REC_FUT_0463,RECEIVABLE,REC_FUT_0463,CLEARED
